id,y_2013,y_2014,y_2015
370630001011,2,2,2
370630001012,1,2,2
370630001021,3,3,3
370630001022,,,
370630002001,1,1,1
370630002002,,,
370630002003,,,1
370630003011,,,
370630003012,,,
370630003013,1,1,1
370630003021,,,
370630003022,,,
370630003023,1,1,1
370630004011,3,1,2
370630004012,,,
370630004013,,,
370630004021,3,3,3
370630005001,2,3,1
370630005002,,,
370630005003,1,,
370630005004,4,3,2
370630006001,1,1,1
370630006002,2,3,3
370630006003,,,
370630007001,1,1,1
370630007002,3,3,3
370630007003,2,2,2
370630009001,1,1,2
370630009002,2,2,2
370630010011,4,4,4
370630010012,3,3,4
370630010013,,,
370630010021,1,1,1
370630010022,,,1
370630010023,,,
370630010024,,,
370630011001,2,2,2
370630011002,2,1,2
370630013011,2,1,2
370630013031,5,5,5
370630013032,2,2,2
370630013041,3,3,2
370630014001,1,1,1
370630014002,4,4,5
370630015011,,,
370630015021,1,1,
370630015022,,,
370630015023,,,
370630015024,,,
370630015031,,,
370630016011,1,1,1
370630016012,1,1,1
370630016013,1,1,
370630016031,1,1,1
370630016032,2,2,3
370630016033,1,1,1
370630016034,,,
370630016041,1,1,1
370630016042,,,
370630016043,,,
370630017051,1,1,3
370630017052,1,1,1
370630017053,3,3,3
370630017061,,,
370630017062,,,
370630017071,,,
370630017072,,,
370630017073,,,
370630017074,,,
370630017075,,,
370630017081,3,3,2
370630017091,3,3,3
370630017092,2,2,2
370630017093,4,4,3
370630017101,1,1,1
370630017102,2,2,2
370630017111,,,
370630017112,,,
370630017113,2,3,3
370630018011,5,5,5
370630018012,1,,
370630018013,1,1,1
370630018014,2,2,2
370630018015,,1,1
370630018021,2,2,2
370630018022,,,
370630018023,4,4,3
370630018024,,,
370630018061,1,1,
370630018062,4,4,2
370630018071,1,2,3
370630018072,5,5,4
370630018073,6,4,3
370630018081,2,2,2
370630018082,3,3,2
370630018091,,1,
370630018092,3,4,4
370630019001,,,
370630019002,,,
370630020071,,,
370630020072,,,
370630020073,,,
370630020081,,,
370630020082,2,2,2
370630020091,6,7,5
370630020092,5,5,3
370630020093,5,5,6
370630020131,,,
370630020132,1,1,1
370630020133,3,4,4
370630020151,4,4,5
370630020152,2,2,3
370630020153,,,
370630020161,,,
370630020162,1,1,1
370630020171,3,3,2
370630020172,1,1,1
370630020173,1,1,
370630020181,,,
370630020182,1,1,1
370630020183,3,2,4
370630020191,,,
370630020192,,,1
370630020193,,,
370630020201,,,
370630020202,2,2,2
370630020211,,,
370630020212,,,
370630020221,,,
370630020222,1,1,
370630020231,2,2,2
370630020232,1,,1
370630020241,5,6,6
370630020242,,,
370630020243,,,
370630020251,3,3,4
370630020252,3,3,3
370630020253,,,
370630020261,4,4,4
370630020262,,,
370630020271,3,3,4
370630020272,5,5,5
370630020273,1,1,1
370630020281,2,2,2
370630020282,,,
370630020283,2,1,2
370630021001,,,
370630021002,1,,1
370630021003,,,
370630022001,4,3,3
370630023001,,,
370630023002,,,
370639801001,4,1,4
